Line09_DD_10m.bin
        10.00
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
6915
 2
0
4  460.00  0.00 560.00  0.00 260.00  0.00 360.00  0.00 -0.29015 
4  480.00  0.00 560.00  0.00 0.00  0.00 80.00  0.00 -0.00425 
4  480.00  0.00 560.00  0.00 80.00  0.00 160.00  0.00 -0.01022 
4  480.00  0.00 560.00  0.00 160.00  0.00 240.00  0.00 -0.03126 
4  480.00  0.00 560.00  0.00 240.00  0.00 320.00  0.00 -0.10891 
4  480.00  0.00 560.00  0.00 320.00  0.00 400.00  0.00 -0.20292 
4  500.00  0.00 560.00  0.00 20.00  0.00 80.00  0.00 -0.00232 
4  500.00  0.00 560.00  0.00 80.00  0.00 140.00  0.00 -0.00400 
4  500.00  0.00 560.00  0.00 140.00  0.00 200.00  0.00 -0.00925 
4  500.00  0.00 560.00  0.00 200.00  0.00 260.00  0.00 -0.02346 
4  500.00  0.00 560.00  0.00 260.00  0.00 320.00  0.00 -0.05727 
4  500.00  0.00 560.00  0.00 320.00  0.00 380.00  0.00 -0.08612 
4  500.00  0.00 560.00  0.00 380.00  0.00 440.00  0.00 -0.17411 
4  520.00  0.00 560.00  0.00 160.00  0.00 200.00  0.00 -0.00387 
4  520.00  0.00 560.00  0.00 200.00  0.00 240.00  0.00 -0.00750 
4  520.00  0.00 560.00  0.00 240.00  0.00 280.00  0.00 -0.01403 
4  520.00  0.00 560.00  0.00 280.00  0.00 320.00  0.00 -0.02372 
4  520.00  0.00 560.00  0.00 320.00  0.00 360.00  0.00 -0.03123 
4  520.00  0.00 560.00  0.00 360.00  0.00 400.00  0.00 -0.03134 
4  520.00  0.00 560.00  0.00 400.00  0.00 440.00  0.00 -0.06043 
4  520.00  0.00 560.00  0.00 440.00  0.00 480.00  0.00 -0.33289 
4  540.00  0.00 560.00  0.00 360.00  0.00 380.00  0.00 -0.00627 
4  540.00  0.00 560.00  0.00 380.00  0.00 400.00  0.00 -0.00616 
4  540.00  0.00 560.00  0.00 400.00  0.00 420.00  0.00 -0.00812 
4  540.00  0.00 560.00  0.00 420.00  0.00 440.00  0.00 -0.01251 
4  540.00  0.00 560.00  0.00 440.00  0.00 460.00  0.00 -0.02426 
4  540.00  0.00 560.00  0.00 460.00  0.00 480.00  0.00 -0.05909 
4  540.00  0.00 560.00  0.00 480.00  0.00 500.00  0.00 -0.19400 
4  540.00  0.00 560.00  0.00 500.00  0.00 520.00  0.00 -0.86825 
4  440.00  0.00 540.00  0.00 40.00  0.00 140.00  0.00 -0.01791 
4  440.00  0.00 540.00  0.00 140.00  0.00 240.00  0.00 -0.07307 
4  440.00  0.00 540.00  0.00 240.00  0.00 340.00  0.00 -0.34058 
4  460.00  0.00 540.00  0.00 60.00  0.00 140.00  0.00 -0.01046 
4  460.00  0.00 540.00  0.00 140.00  0.00 220.00  0.00 -0.03175 
4  460.00  0.00 540.00  0.00 220.00  0.00 300.00  0.00 -0.11124 
4  460.00  0.00 540.00  0.00 300.00  0.00 380.00  0.00 -0.27119 
4  480.00  0.00 540.00  0.00 0.00  0.00 60.00  0.00 -0.00237 
4  480.00  0.00 540.00  0.00 60.00  0.00 120.00  0.00 -0.00436 
4  480.00  0.00 540.00  0.00 120.00  0.00 180.00  0.00 -0.00917 
