x	z
0	31.7691
6.55059769	30.5896
40.85249134	28.2734
45.59934573	27.2497
50.29021111	26.1639
55.3833898	25.5672
60.28409646	24.9703
65.2386242	24.4024
70.2840402	23.5279
75.3197	22.4093
80.22951929	21.5398
85.1852974	20.8852
90.11863415	20.24
94.99827364	19.5373
99.99768144	18.576
104.9484702	17.4633
110.0252368	16.7859
115.078255	16.0048
119.9945517	15.3807
124.9328317	14.3224
129.0867978	13.8372
133.9766585	13.2529
139.1082695	12.8383
144.9319331	12.3061
149.9757999	11.8337
154.9436171	11.2703
159.9433108	10.7256
164.9113769	10.1713
170.0261209	9.611
174.9091772	9.2449
179.909784	8.889
184.9754005	8.4322
190.0158063	8.0813
194.9259372	7.6469
199.8568338	6.8282
204.8912389	6.1752
209.8986456	5.4086
214.9132389	4.7021
219.8417227	3.7719
224.8718435	2.5146
229.9305162	1.9683
235.0861945	1.06
239.89692	0.48
244.7692638	0
