Line11_DD_5m_L11a.bin
         5.00
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
4524
 2
0
4  230.00  0.00 280.00  0.00 130.00  0.00 180.00  0.00 -1.47890 
4  240.00  0.00 280.00  0.00 0.00  0.00 40.00  0.00 -0.03752 
4  240.00  0.00 280.00  0.00 40.00  0.00 80.00  0.00 -0.05435 
4  240.00  0.00 280.00  0.00 80.00  0.00 120.00  0.00 -0.10514 
4  240.00  0.00 280.00  0.00 120.00  0.00 160.00  0.00 -0.32507 
4  240.00  0.00 280.00  0.00 160.00  0.00 200.00  0.00 -1.32340 
4  250.00  0.00 280.00  0.00 10.00  0.00 40.00  0.00 -0.01406 
4  250.00  0.00 280.00  0.00 40.00  0.00 70.00  0.00 -0.02558 
4  250.00  0.00 280.00  0.00 70.00  0.00 100.00  0.00 -0.03089 
4  250.00  0.00 280.00  0.00 100.00  0.00 130.00  0.00 -0.06099 
4  250.00  0.00 280.00  0.00 130.00  0.00 160.00  0.00 -0.15013 
4  250.00  0.00 280.00  0.00 160.00  0.00 190.00  0.00 -0.41714 
4  250.00  0.00 280.00  0.00 190.00  0.00 220.00  0.00 -1.41889 
4  260.00  0.00 280.00  0.00 80.00  0.00 100.00  0.00 -0.01071 
4  260.00  0.00 280.00  0.00 100.00  0.00 120.00  0.00 -0.01992 
4  260.00  0.00 280.00  0.00 120.00  0.00 140.00  0.00 -0.02724 
4  260.00  0.00 280.00  0.00 140.00  0.00 160.00  0.00 -0.05878 
4  260.00  0.00 280.00  0.00 160.00  0.00 180.00  0.00 -0.10884 
4  260.00  0.00 280.00  0.00 180.00  0.00 200.00  0.00 -0.20510 
4  260.00  0.00 280.00  0.00 200.00  0.00 220.00  0.00 -0.51662 
4  260.00  0.00 280.00  0.00 220.00  0.00 240.00  0.00 -1.40419 
4  270.00  0.00 280.00  0.00 180.00  0.00 190.00  0.00 -0.04994 
4  270.00  0.00 280.00  0.00 190.00  0.00 200.00  0.00 -0.05522 
4  270.00  0.00 280.00  0.00 200.00  0.00 210.00  0.00 -0.10090 
4  270.00  0.00 280.00  0.00 210.00  0.00 220.00  0.00 -0.16170 
4  270.00  0.00 280.00  0.00 220.00  0.00 230.00  0.00 -0.21538 
4  270.00  0.00 280.00  0.00 230.00  0.00 240.00  0.00 -0.43535 
4  270.00  0.00 280.00  0.00 240.00  0.00 250.00  0.00 -0.82546 
4  270.00  0.00 280.00  0.00 250.00  0.00 260.00  0.00 -1.56771 
4  220.00  0.00 270.00  0.00 20.00  0.00 70.00  0.00 -0.13642 
4  220.00  0.00 270.00  0.00 70.00  0.00 120.00  0.00 -0.29621 
4  220.00  0.00 270.00  0.00 120.00  0.00 170.00  0.00 -1.50651 
4  230.00  0.00 270.00  0.00 30.00  0.00 70.00  0.00 -0.08408 
4  230.00  0.00 270.00  0.00 70.00  0.00 110.00  0.00 -0.13465 
4  230.00  0.00 270.00  0.00 110.00  0.00 150.00  0.00 -0.39212 
4  230.00  0.00 270.00  0.00 150.00  0.00 190.00  0.00 -1.90834 
4  240.00  0.00 270.00  0.00 0.00  0.00 30.00  0.00 -0.02141 
4  240.00  0.00 270.00  0.00 30.00  0.00 60.00  0.00 -0.03256 
4  240.00  0.00 270.00  0.00 60.00  0.00 90.00  0.00 -0.04164 
4  240.00  0.00 270.00  0.00 90.00  0.00 120.00  0.00 -0.07294 
4  240.00  0.00 270.00  0.00 120.00  0.00 150.00  0.00 -0.15551 
4  240.00  0.00 270.00  0.00 150.00  0.00 180.00  0.00 -0.51848 
4  240.00  0.00 270.00  0.00 180.00  0.00 210.00  0.00 -1.55187 
4  250.00  0.00 270.00  0.00 70.00  0.00 90.00  0.00 -0.01540 
4  250.00  0.00 270.00  0.00 90.00  0.00 110.00  0.00 -0.01780 
4  250.00  0.00 270.00  0.00 110.00  0.00 130.00  0.00 -0.03478 
4  250.00  0.00 270.00  0.00 130.00  0.00 150.00  0.00 -0.05475 
4  250.00  0.00 270.00  0.00 150.00  0.00 170.00  0.00 -0.13603 
4  250.00  0.00 270.00  0.00 170.00  0.00 190.00  0.00 -0.23556 
4  250.00  0.00 270.00  0.00 190.00  0.00 210.00  0.00 -0.48907 
4  250.00  0.00 270.00  0.00 210.00  0.00 230.00  0.00 -1.49977 
4  260.00  0.00 270.00  0.00 170.00  0.00 180.00  0.00 -0.03061 
4  260.00  0.00 270.00  0.00 180.00  0.00 190.00  0.00 -0.04234 
4  260.00  0.00 270.00  0.00 190.00  0.00 200.00  0.00 -0.05939 
4  260.00  0.00 270.00  0.00 200.00  0.00 210.00  0.00 -0.08714 
4  260.00  0.00 270.00  0.00 210.00  0.00 220.00  0.00 -0.16445 
4  260.00  0.00 270.00  0.00 220.00  0.00 230.00  0.00 -0.21944 
4  260.00  0.00 270.00  0.00 230.00  0.00 240.00  0.00 -0.53210 
4  260.00  0.00 270.00  0.00 240.00  0.00 250.00  0.00 -1.60721 
4  210.00  0.00 260.00  0.00 10.00  0.00 60.00  0.00 -0.17172 
4  210.00  0.00 260.00  0.00 60.00  0.00 110.00  0.00 -0.32731 
4  210.00  0.00 260.00  0.00 110.00  0.00 160.00  0.00 -1.74090 
4  220.00  0.00 260.00  0.00 20.00  0.00 60.00  0.00 -0.10309 
4  220.00  0.00 260.00  0.00 60.00  0.00 100.00  0.00 -0.15108 
4  220.00  0.00 260.00  0.00 100.00  0.00 140.00  0.00 -0.40714 
4  220.00  0.00 260.00  0.00 140.00  0.00 180.00  0.00 -1.97127 
4  230.00  0.00 260.00  0.00 20.00  0.00 50.00  0.00 -0.05040 
4  230.00  0.00 260.00  0.00 50.00  0.00 80.00  0.00 -0.06306 
4  230.00  0.00 260.00  0.00 80.00  0.00 110.00  0.00 -0.09957 
4  230.00  0.00 260.00  0.00 110.00  0.00 140.00  0.00 -0.23246 
4  230.00  0.00 260.00  0.00 140.00  0.00 170.00  0.00 -0.74065 
4  230.00  0.00 260.00  0.00 170.00  0.00 200.00  0.00 -2.35030 
4  240.00  0.00 260.00  0.00 60.00  0.00 80.00  0.00 -0.01860 
4  240.00  0.00 260.00  0.00 80.00  0.00 100.00  0.00 -0.02756 
4  240.00  0.00 260.00  0.00 100.00  0.00 120.00  0.00 -0.04681 
4  240.00  0.00 260.00  0.00 120.00  0.00 140.00  0.00 -0.07599 
4  240.00  0.00 260.00  0.00 140.00  0.00 160.00  0.00 -0.16362 
4  240.00  0.00 260.00  0.00 160.00  0.00 180.00  0.00 -0.34574 
4  240.00  0.00 260.00  0.00 180.00  0.00 200.00  0.00 -0.66071 
4  240.00  0.00 260.00  0.00 200.00  0.00 220.00  0.00 -2.39601 
4  250.00  0.00 260.00  0.00 160.00  0.00 170.00  0.00 -0.05524 
4  250.00  0.00 260.00  0.00 170.00  0.00 180.00  0.00 -0.06748 
4  250.00  0.00 260.00  0.00 180.00  0.00 190.00  0.00 -0.09346 
4  250.00  0.00 260.00  0.00 190.00  0.00 200.00  0.00 -0.13918 
4  250.00  0.00 260.00  0.00 200.00  0.00 210.00  0.00 -0.20377 
4  250.00  0.00 260.00  0.00 210.00  0.00 220.00  0.00 -0.44926 
4  250.00  0.00 260.00  0.00 220.00  0.00 230.00  0.00 -0.66592 
4  250.00  0.00 260.00  0.00 230.00  0.00 240.00  0.00 -2.78706 
4  200.00  0.00 250.00  0.00 100.00  0.00 150.00  0.00 -1.50453 
4  210.00  0.00 250.00  0.00 10.00  0.00 50.00  0.00 -0.12047 
4  210.00  0.00 250.00  0.00 50.00  0.00 90.00  0.00 -0.18795 
4  210.00  0.00 250.00  0.00 90.00  0.00 130.00  0.00 -0.46912 
4  210.00  0.00 250.00  0.00 130.00  0.00 170.00  0.00 -2.48760 
4  220.00  0.00 250.00  0.00 70.00  0.00 100.00  0.00 -0.10997 
4  220.00  0.00 250.00  0.00 100.00  0.00 130.00  0.00 -0.23132 
4  220.00  0.00 250.00  0.00 130.00  0.00 160.00  0.00 -0.66769 
4  220.00  0.00 250.00  0.00 160.00  0.00 190.00  0.00 -2.45808 
4  230.00  0.00 250.00  0.00 50.00  0.00 70.00  0.00 -0.04556 
4  230.00  0.00 250.00  0.00 70.00  0.00 90.00  0.00 -0.03280 
4  230.00  0.00 250.00  0.00 90.00  0.00 110.00  0.00 -0.05626 
4  230.00  0.00 250.00  0.00 110.00  0.00 130.00  0.00 -0.12400 
4  230.00  0.00 250.00  0.00 130.00  0.00 150.00  0.00 -0.17972 
4  230.00  0.00 250.00  0.00 150.00  0.00 170.00  0.00 -0.51738 
4  230.00  0.00 250.00  0.00 170.00  0.00 190.00  0.00 -1.02051 
4  230.00  0.00 250.00  0.00 190.00  0.00 210.00  0.00 -3.09612 
4  240.00  0.00 250.00  0.00 150.00  0.00 160.00  0.00 -0.08533 
4  240.00  0.00 250.00  0.00 160.00  0.00 170.00  0.00 -0.07917 
4  240.00  0.00 250.00  0.00 170.00  0.00 180.00  0.00 -0.12165 
4  240.00  0.00 250.00  0.00 180.00  0.00 190.00  0.00 -0.17473 
4  240.00  0.00 250.00  0.00 190.00  0.00 200.00  0.00 -0.26010 
4  240.00  0.00 250.00  0.00 200.00  0.00 210.00  0.00 -0.48510 
4  240.00  0.00 250.00  0.00 210.00  0.00 220.00  0.00 -1.26202 
4  240.00  0.00 250.00  0.00 220.00  0.00 230.00  0.00 -3.03733 
4  190.00  0.00 240.00  0.00 40.00  0.00 90.00  0.00 -0.37828 
4  190.00  0.00 240.00  0.00 90.00  0.00 140.00  0.00 -1.27162 
4  200.00  0.00 240.00  0.00 0.00  0.00 40.00  0.00 -0.13591 
4  200.00  0.00 240.00  0.00 40.00  0.00 80.00  0.00 -0.17798 
4  200.00  0.00 240.00  0.00 80.00  0.00 120.00  0.00 -0.47334 
4  200.00  0.00 240.00  0.00 120.00  0.00 160.00  0.00 -2.19866 
4  210.00  0.00 240.00  0.00 0.00  0.00 30.00  0.00 -0.05225 
4  210.00  0.00 240.00  0.00 30.00  0.00 60.00  0.00 -0.09746 
4  210.00  0.00 240.00  0.00 60.00  0.00 90.00  0.00 -0.12936 
4  210.00  0.00 240.00  0.00 90.00  0.00 120.00  0.00 -0.26169 
4  210.00  0.00 240.00  0.00 120.00  0.00 150.00  0.00 -0.68395 
4  210.00  0.00 240.00  0.00 150.00  0.00 180.00  0.00 -3.40416 
4  220.00  0.00 240.00  0.00 40.00  0.00 60.00  0.00 -0.04040 
4  220.00  0.00 240.00  0.00 60.00  0.00 80.00  0.00 -0.04249 
4  220.00  0.00 240.00  0.00 80.00  0.00 100.00  0.00 -0.06095 
4  220.00  0.00 240.00  0.00 100.00  0.00 120.00  0.00 -0.10617 
4  220.00  0.00 240.00  0.00 120.00  0.00 140.00  0.00 -0.17917 
4  220.00  0.00 240.00  0.00 140.00  0.00 160.00  0.00 -0.43434 
4  220.00  0.00 240.00  0.00 160.00  0.00 180.00  0.00 -1.03067 
4  220.00  0.00 240.00  0.00 180.00  0.00 200.00  0.00 -2.92754 
4  230.00  0.00 240.00  0.00 140.00  0.00 150.00  0.00 -0.08411 
4  230.00  0.00 240.00  0.00 150.00  0.00 160.00  0.00 -0.13277 
4  230.00  0.00 240.00  0.00 160.00  0.00 170.00  0.00 -0.20937 
4  230.00  0.00 240.00  0.00 170.00  0.00 180.00  0.00 -0.27786 
4  230.00  0.00 240.00  0.00 180.00  0.00 190.00  0.00 -0.45050 
4  230.00  0.00 240.00  0.00 190.00  0.00 200.00  0.00 -0.75798 
4  230.00  0.00 240.00  0.00 200.00  0.00 210.00  0.00 -1.58791 
4  230.00  0.00 240.00  0.00 210.00  0.00 220.00  0.00 -6.01413 
4  180.00  0.00 230.00  0.00 30.00  0.00 80.00  0.00 -0.33579 
4  180.00  0.00 230.00  0.00 80.00  0.00 130.00  0.00 -1.06218 
4  190.00  0.00 230.00  0.00 30.00  0.00 70.00  0.00 -0.19371 
4  190.00  0.00 230.00  0.00 70.00  0.00 110.00  0.00 -0.37045 
4  190.00  0.00 230.00  0.00 110.00  0.00 150.00  0.00 -1.57753 
