Project15	Dipole-Dipole_1								
5									
11									
3									
Type	of	measurement	"(0=app.resistivity,1=resistance)"						
4	250	0	230	0	90	0	110	0	0.0106759
4	300	0	280	0	120	0	140	0	0.0107492
4	300	0	280	0	120	0	140	0	0.0107708
4	340	0	330	0	240	0	250	0	0.0107755
4	300	0	260	0	20	0	60	0	0.0108222
4	320	0	310	0	220	0	230	0	0.0109489
4	270	0	260	0	170	0	180	0	0.0109635
4	270	0	240	0	60	0	90	0	0.0109972
4	300	0	260	0	20	0	60	0	0.0110504
4	260	0	240	0	100	0	120	0	0.0111356
4	300	0	260	0	60	0	100	0	0.0111626
4	360	0	340	0	200	0	220	0	0.0113205
4	380	0	360	0	220	0	240	0	0.0114998
4	270	0	240	0	60	0	90	0	0.0116985
4	250	0	220	0	10	0	40	0	0.0117293
4	230	0	210	0	30	0	50	0	0.0118745
4	390	0	370	0	230	0	250	0	0.0119643
4	240	0	220	0	60	0	80	0	0.0120488
4	250	0	240	0	160	0	170	0	0.0121068
4	320	0	300	0	200	0	220	0	0.0121712
4	240	0	220	0	60	0	80	0	0.0123017
4	400	0	350	0	250	0	300	0	0.0123354
4	300	0	260	0	60	0	100	0	0.0123886
4	290	0	270	0	130	0	150	0	0.0125125
4	290	0	280	0	200	0	210	0	0.012802
4	260	0	230	0	50	0	80	0	0.0128885
4	250	0	240	0	160	0	170	0	0.0129054
4	270	0	265	0	220	0	225	0	0.0129609
4	230	0	210	0	30	0	50	0	0.0129728
4	320	0	310	0	230	0	240	0	0.0130459
4	300	0	290	0	200	0	210	0	0.0131994
4	300	0	280	0	140	0	160	0	0.0132187
4	250	0	220	0	10	0	40	0	0.0134976
4	260	0	250	0	170	0	180	0	0.0135844
4	290	0	280	0	210	0	220	0	0.0138209
4	330	0	320	0	240	0	250	0	0.0138949
4	300	0	280	0	140	0	160	0	0.0139318
4	260	0	250	0	170	0	180	0	0.0139777
4	230	0	220	0	130	0	140	0	0.0140705
4	230	0	220	0	130	0	140	0	0.014086
4	240	0	210	0	0	0	30	0	0.0140871
4	270	0	240	0	90	0	120	0	0.0141473
4	265	0	260	0	215	0	220	0	0.0142765
4	240	0	220	0	80	0	100	0	0.014303
4	300	0	250	0	0	0	50	0	0.0144685
4	300	0	290	0	240	0	250	0	0.0146475
4	240	0	230	0	140	0	150	0	0.0146639
4	240	0	230	0	140	0	150	0	0.0146783
4	300	0	250	0	0	0	50	0	0.0148175
4	260	0	230	0	50	0	80	0	0.0148306
4	270	0	260	0	180	0	190	0	0.0148885
4	400	0	380	0	240	0	260	0	0.0149555
4	230	0	210	0	50	0	70	0	0.0151689
4	290	0	250	0	50	0	90	0	0.0152853
4	280	0	250	0	100	0	130	0	0.0153785
4	290	0	250	0	50	0	90	0	0.0154704
4	240	0	210	0	0	0	30	0	0.0154974
4	280	0	270	0	210	0	220	0	0.0155114
4	290	0	270	0	150	0	170	0	0.0155825
4	270	0	250	0	130	0	150	0	0.0156973
4	360	0	340	0	220	0	240	0	0.0157055
4	240	0	220	0	80	0	100	0	0.0157372
4	340	0	320	0	200	0	220	0	0.0157925
4	270	0	250	0	130	0	150	0	0.015813
4	230	0	210	0	50	0	70	0	0.0159309
4	280	0	240	0	40	0	80	0	0.0162177
4	260	0	255	0	210	0	215	0	0.0162861
4	350	0	330	0	210	0	230	0	0.0164061
4	350	0	340	0	250	0	260	0	0.0165979
4	270	0	240	0	90	0	120	0	0.0166195
4	370	0	350	0	230	0	250	0	0.0168308
4	280	0	240	0	40	0	80	0	0.0169241
4	280	0	250	0	100	0	130	0	0.0170613
4	280	0	270	0	200	0	210	0	0.0170809
4	280	0	260	0	140	0	160	0	0.017418
4	275	0	270	0	245	0	250	0	0.0179918
4	250	0	220	0	40	0	70	0	0.0183711
4	300	0	280	0	180	0	200	0	0.0183945
4	290	0	260	0	110	0	140	0	0.0184787
4	260	0	230	0	80	0	110	0	0.0185272
4	290	0	280	0	210	0	220	0	0.018649
4	220	0	200	0	20	0	40	0	0.0187146
4	260	0	240	0	120	0	140	0	0.0187315
4	270	0	230	0	30	0	70	0	0.0188819
4	250	0	220	0	40	0	70	0	0.0192901
4	270	0	230	0	30	0	70	0	0.019438
4	260	0	240	0	120	0	140	0	0.0194499
4	220	0	200	0	20	0	40	0	0.0194942
4	280	0	260	0	140	0	160	0	0.0196913
4	260	0	230	0	80	0	110	0	0.020007
4	300	0	250	0	50	0	100	0	0.0200265
4	270	0	260	0	190	0	200	0	0.020051
4	260	0	250	0	180	0	190	0	0.0202115
4	300	0	250	0	50	0	100	0	0.0202275
4	250	0	230	0	110	0	130	0	0.0202698
4	240	0	230	0	150	0	160	0	0.0203079
4	270	0	260	0	180	0	190	0	0.0203612
4	220	0	210	0	120	0	130	0	0.0205065
4	240	0	230	0	150	0	160	0	0.0206383
4	390	0	360	0	210	0	240	0	0.0208657
4	250	0	230	0	110	0	130	0	0.0210814
4	290	0	260	0	110	0	140	0	0.0212047
4	260	0	255	0	215	0	220	0	0.0212219
4	380	0	350	0	200	0	230	0	0.0212966
4	220	0	210	0	120	0	130	0	0.0217165
